similar_product,similar_inv_pk,similarity_score,similar_brd_name,similar_dpt_name,original_product,inv_pk,brd_name
organic greens baby food,1171804,0.9286775,Happy Baby                    ,Packaged Grocery              ,winter squash og,43760,Earth's Best                  
bluerasperry banana,553158,0.94187206,Peter Rabbit Organics         ,Packaged Grocery              ,winter squash og,43760,Earth's Best                  
root vegetable pouch og,133596,0.9122448,Serenity Kids                 ,Packaged Grocery              ,winter squash og,43760,Earth's Best                  
food baby carrot peas og,54775,0.92064285,Happy Baby                    ,Packaged Grocery              ,winter squash og,43760,Earth's Best                  
beet carot & pear og,42845,0.9168041,Peter Rabbit Organics         ,Packaged Grocery              ,winter squash og,43760,Earth's Best                  
organic golden nugget mandarins,1351308,0.9296079,Produce                       ,Produce                       ,pouch squash & sweet pea,12108,Produce                       
organic buddha's hand,1351138,0.9122572,Produce                       ,Produce                       ,pouch squash & sweet pea,12108,Produce                       
organic jumbo kiwi 1# clamshell,1318957,0.9316492,Produce                       ,Produce                       ,pouch squash & sweet pea,12108,Produce                       
organic avocados 4 count,1244908,0.9953983,Produce                       ,Produce                       ,pouch squash & sweet pea,12108,Produce                       
organic green tomato,670027,0.93370694,Produce                       ,Produce                       ,pouch squash & sweet pea,12108,Produce                       
organic cilantro leaf,586076,0.980562,Frontier Coop                 ,Bulk                          ,bananas og,37593,Frontier Coop                 
tarragon leaf og,486061,0.9454127,Frontier Coop                 ,Bulk                          ,bananas og,37593,Frontier Coop                 
organic celery salt,486059,0.93651986,Frontier Coop                 ,Bulk                          ,bananas og,37593,Frontier Coop                 
organic eucalyptus leaf,134418,0.9714596,Frontier Coop                 ,Bulk                          ,bananas og,37593,Frontier Coop                 
gentian root,134417,0.975306,Frontier Coop                 ,Bulk                          ,bananas og,37593,Frontier Coop                 
organic cilantro leaf,586076,0.9584979,Frontier Coop                 ,Bulk                          ,infant formula sens iron og,9860,Frontier Coop                 
tarragon leaf og,486061,0.95206094,Frontier Coop                 ,Bulk                          ,infant formula sens iron og,9860,Frontier Coop                 
organic celery salt,486059,0.92174494,Frontier Coop                 ,Bulk                          ,infant formula sens iron og,9860,Frontier Coop                 
organic eucalyptus leaf,134418,0.95863825,Frontier Coop                 ,Bulk                          ,infant formula sens iron og,9860,Frontier Coop                 
gentian root,134417,0.9510923,Frontier Coop                 ,Bulk                          ,infant formula sens iron og,9860,Frontier Coop                 
organic cilantro leaf,586076,0.98076195,Frontier Coop                 ,Bulk                          ,infant formula dha & ara og,9867,Frontier Coop                 
tarragon leaf og,486061,0.93836004,Frontier Coop                 ,Bulk                          ,infant formula dha & ara og,9867,Frontier Coop                 
organic celery salt,486059,0.92565286,Frontier Coop                 ,Bulk                          ,infant formula dha & ara og,9867,Frontier Coop                 
organic eucalyptus leaf,134418,0.9735764,Frontier Coop                 ,Bulk                          ,infant formula dha & ara og,9867,Frontier Coop                 
gentian root,134417,0.9738976,Frontier Coop                 ,Bulk                          ,infant formula dha & ara og,9867,Frontier Coop                 
organic purple ben yagi sweet potato,1244975,0.9780697,Produce                       ,Produce                       ,black forest uncured ham,12225,Produce                       
organic avocados 4 count,1244908,0.91625726,Produce                       ,Produce                       ,black forest uncured ham,12225,Produce                       
organic bite size gold potatoes,1171798,0.91476667,Wild Harvest                  ,Produce                       ,black forest uncured ham,12225,Produce                       
organic baby napa cabbage,1155769,0.91244656,Stick-n-Stone Farm            ,Produce                       ,black forest uncured ham,12225,Produce                       
organic celery,838342,0.9203392,Produce                       ,Produce                       ,black forest uncured ham,12225,Produce                       
crunchy fries taco beyond,1171847,0.9262872,Daily Crave                   ,Packaged Grocery              ,organic avocados,46259,The Good Crisp Company        
za'atar & thyme pita chips,1171820,0.9213441,Issa's                        ,Packaged Grocery              ,organic avocados,46259,The Good Crisp Company        
spicy harissa pita chips,850396,0.9355346,Issa's                        ,Packaged Grocery              ,organic avocados,46259,The Good Crisp Company        
halloween pink salt organic popcorn,713125,0.9035907,Lesser Evil                   ,Packaged Grocery              ,organic avocados,46259,The Good Crisp Company        
original crinkle cut chips,713107,0.9554737,The Good Crisp Company        ,Packaged Grocery              ,organic avocados,46259,The Good Crisp Company        
stevia sweetner og,42099,0.9042901,Sweet Leaf                    ,Packaged Grocery              ,organic navel oranges,42085,Sweet Leaf                    
sweet drops vanilla,42089,0.9845943,Sweet Leaf                    ,Packaged Grocery              ,organic navel oranges,42085,Sweet Leaf                    
sweet drops stevia clear,42086,0.9814915,Sweet Leaf                    ,Packaged Grocery              ,organic navel oranges,42085,Sweet Leaf                    
stevia sweetener pkts,31011,0.90274304,Sweet Leaf                    ,Packaged Grocery              ,organic navel oranges,42085,Sweet Leaf                    
stevia clear liquid,17329,0.94558173,Sweet Leaf                    ,Packaged Grocery              ,organic navel oranges,42085,Sweet Leaf                    
wipe disinfecting multi surface,47405,0.9842633,Seventh Generation            ,Packaged Grocery              ,nasal cleansing pot,46094,Seventh Generation            
wipe disinfecting multi surface,47404,0.9090154,Seventh Generation            ,Packaged Grocery              ,nasal cleansing pot,46094,Seventh Generation            
spray disinfectant lavander vanilla,46095,0.9887284,Seventh Generation            ,Packaged Grocery              ,nasal cleansing pot,46094,Seventh Generation            
cleaner multi-surf disinfect,42364,0.95221305,Seventh Generation            ,Packaged Grocery              ,nasal cleansing pot,46094,Seventh Generation            
oxygen brightener bleach alternative,1319908,0.90918124,Meliora                       ,Packaged Grocery              ,organic decaf breakfast blend coffee,46093,Seventh Generation            
gentle cleaning scrub,1319907,0.9213543,Meliora                       ,Packaged Grocery              ,organic decaf breakfast blend coffee,46093,Seventh Generation            
ecoclean disinfecting wipes,843344,0.93661594,Clorox                        ,Packaged Grocery              ,organic decaf breakfast blend coffee,46093,Seventh Generation            
urine remover spray,843343,0.90513164,Clorox                        ,Packaged Grocery              ,organic decaf breakfast blend coffee,46093,Seventh Generation            
scrub daddyflex texture,661952,0.91479677,Scrub Daddy                   ,Packaged Grocery              ,organic decaf breakfast blend coffee,46093,Seventh Generation            
cola 4pk,1351089,0.90050244,Virgil's                      ,Packaged Grocery              ,gum pouch spearmint,46025,Polar Seltzer                 
hemp infused orange pop,1319904,0.9026769,Upstate Elevator Supply       ,Packaged Grocery              ,gum pouch spearmint,46025,Polar Seltzer                 
hemp infused zesty lime ginger ale,1319903,0.91284686,Upstate Elevator Supply       ,Packaged Grocery              ,gum pouch spearmint,46025,Polar Seltzer                 
hemp infused green mango seltzer,1319902,0.9264681,Upstate Elevator Supply       ,Packaged Grocery              ,gum pouch spearmint,46025,Polar Seltzer                 
orange thc pop,1318969,0.9089253,Upstate Elevator Supply       ,Packaged Grocery              ,gum pouch spearmint,46025,Polar Seltzer                 
trini chickpea curry,49854,0.914081,A Dozen Cousins               ,Packaged Grocery              ,gum pouch wintergreen,45648,Lars Own                      
mexican vanilla bean paste,1318921,0.9078365,Nielsen-Massey                ,Packaged Grocery              ,organic mangoes,45637,Enjoy Life                    
cherry pie filling,1244992,0.9046349,Bonne Maman                   ,Packaged Grocery              ,organic mangoes,45637,Enjoy Life                    
apple pie filling,1244991,0.9022848,Bonne Maman                   ,Packaged Grocery              ,organic mangoes,45637,Enjoy Life                    
blueberry pie filling,1244990,0.9022443,Bonne Maman                   ,Packaged Grocery              ,organic mangoes,45637,Enjoy Life                    
decorative sugar crystals red,485961,0.9212015,Color Garden                  ,Packaged Grocery              ,organic mangoes,45637,Enjoy Life                    
gentle cleaning scrub,1319907,0.906018,Meliora                       ,Packaged Grocery              ,tea jasmine green og 20 bag,45645,Bio Kleen                     
scrub daddyflex texture,661952,0.9022601,Scrub Daddy                   ,Packaged Grocery              ,tea jasmine green og 20 bag,45645,Bio Kleen                     
lemongrass laundry powder,519889,0.9162093,Ingredients Matter            ,Packaged Grocery              ,tea jasmine green og 20 bag,45645,Bio Kleen                     
fragrance free laundry powder,519886,0.91317046,Ingredients Matter            ,Packaged Grocery              ,tea jasmine green og 20 bag,45645,Bio Kleen                     
lavneder & mint dish soap,519885,0.94016874,Seventh Generation            ,Packaged Grocery              ,tea jasmine green og 20 bag,45645,Bio Kleen                     
crispy wheat crackers,1319864,0.91439176,Back To Nature                ,Packaged Grocery              ,penne & four cheese,45452,Le Pain des Fleurs            
rosemary whole wheat crackers,1319863,0.9111855,Back To Nature                ,Packaged Grocery              ,penne & four cheese,45452,Le Pain des Fleurs            
lightly salted matzo,662952,0.9258102,Streit's                      ,Packaged Grocery              ,penne & four cheese,45452,Le Pain des Fleurs            
cranberry almond crisps,553082,0.9055922,Better With Buckwheat         ,Packaged Grocery              ,penne & four cheese,45452,Le Pain des Fleurs            
maple cinnamon currant crackers,553079,0.91227084,Better With Buckwheat         ,Packaged Grocery              ,penne & four cheese,45452,Le Pain des Fleurs            
peanut butter chocolate chip oat bars,417158,0.92023426,Bobos                         ,Packaged Grocery              ,organic ground chipotle,45406,RXBar                         
lemon ginger energy bar,417136,0.90390563,Wise Bar                      ,Packaged Grocery              ,organic ground chipotle,45406,RXBar                         
apple cinnamon nut butter bites,417134,0.9318675,Just Made                     ,Packaged Grocery              ,organic ground chipotle,45406,RXBar                         
chocolate peanut butter bites,417133,0.92448545,Just Made                     ,Packaged Grocery              ,organic ground chipotle,45406,RXBar                         
oatmeal raisin nut butter bites,417132,0.912483,Just Made                     ,Packaged Grocery              ,organic ground chipotle,45406,RXBar                         
curry in a hurry,486274,0.90328205,Keho                          ,Packaged Grocery              ,organic low-sodium vegetable broth powder,45408,RXBar                         
peanut butter chocolate chip oat bars,417158,0.934693,Bobos                         ,Packaged Grocery              ,organic low-sodium vegetable broth powder,45408,RXBar                         
lemon ginger energy bar,417136,0.90677786,Wise Bar                      ,Packaged Grocery              ,organic low-sodium vegetable broth powder,45408,RXBar                         
apple cinnamon nut butter bites,417134,0.9334587,Just Made                     ,Packaged Grocery              ,organic low-sodium vegetable broth powder,45408,RXBar                         
chocolate peanut butter bites,417133,0.9252813,Just Made                     ,Packaged Grocery              ,organic low-sodium vegetable broth powder,45408,RXBar                         
pink himalayan salt flatbread,45444,0.92381144,Back To Nature                ,Packaged Grocery              ,cream of tartar,45443,Back To Nature                
chocolate vanilla sandwich cookies,848374,0.9289315,Field Day                     ,Packaged Grocery              ,organic dill weed,45231,Lenny & Larry's               
organic chocolate animal cookies,848372,0.90533406,Field Day                     ,Packaged Grocery              ,organic dill weed,45231,Lenny & Larry's               
vanilla creme sandwich cookies,848371,0.91826296,Field Day                     ,Packaged Grocery              ,organic dill weed,45231,Lenny & Larry's               
cookie snickerdoodle,661980,0.92057407,Tate's Bake Shop              ,Packaged Grocery              ,organic dill weed,45231,Lenny & Larry's               
og maple cookie sandwich cookies,452281,0.9029764,Cadia                         ,Packaged Grocery              ,organic dill weed,45231,Lenny & Larry's               
organic pizza sauce,1245044,0.9221579,Field Day                     ,Packaged Grocery              ,organo mediterranean oregano leaf,45228,Field Day                     
ground beef sauce,1162777,0.90377325,Carfagna's                    ,Packaged Grocery              ,organo mediterranean oregano leaf,45228,Field Day                     
tuscan tomato marinara,586000,0.92904675,Lucini Italia                 ,Packaged Grocery              ,organo mediterranean oregano leaf,45228,Field Day                     
truffle alfredo sauce,486115,0.9101713,Cucina Antica                 ,Packaged Grocery              ,organo mediterranean oregano leaf,45228,Field Day                     
chili pesto,282261,0.9049869,Sacla                         ,Packaged Grocery              ,organo mediterranean oregano leaf,45228,Field Day                     
thc zesty lime ginger ale 4pk,661934,0.9018368,Upstate Elevator Supply       ,Packaged Grocery              ,organic rosehips,45287,Guayaki                       
pineapple mango hemp water 6pk,452098,0.91371137,Ayrloom                       ,Packaged Grocery              ,organic rosehips,45287,Guayaki                       
hemp infused black cherry water 6pk,452097,0.9011105,Ayrloom                       ,Packaged Grocery              ,organic rosehips,45287,Guayaki                       
hemp infused lemonade 6pk,452095,0.9013937,Ayrloom                       ,Packaged Grocery              ,organic rosehips,45287,Guayaki                       
lemonade hemp water w/thc,281842,0.9085063,Ayrloom                       ,Packaged Grocery              ,organic rosehips,45287,Guayaki                       
thc vanilla cola,1318900,0.90555847,Ayrloom                       ,Packaged Grocery              ,organic ground turmeric root,45286,Guayaki                       
lions mane sparkling drink,1028644,0.90700614,Brez                          ,Packaged Grocery              ,organic ground turmeric root,45286,Guayaki                       
margarita thc sparkling water 4pk,520243,0.90217376,Tune Up                       ,Packaged Grocery              ,organic ground turmeric root,45286,Guayaki                       
thc sparkling pink lemonade 4pk,519755,0.90304285,Squared                       ,Packaged Grocery              ,organic ground turmeric root,45286,Guayaki                       
orange thc sparkling drink,519754,0.9081841,Squared                       ,Packaged Grocery              ,organic ground turmeric root,45286,Guayaki                       
orig mild turkey stick,106133,0.9245087,Chomps                        ,Meat                          ,organic yukon gold potatoes,45177,Vermont Smoke & Cure          
rosemary turkey jerky stick,46276,0.9133128,Country Archer                ,Packaged Grocery              ,organic yukon gold potatoes,45177,Vermont Smoke & Cure          
real stick bbq,36847,0.95475787,Vermont Smoke & Cure          ,Meat                          ,organic yukon gold potatoes,45177,Vermont Smoke & Cure          
real stick chipotle,36845,0.9400405,Vermont Smoke & Cure          ,Meat                          ,organic yukon gold potatoes,45177,Vermont Smoke & Cure          
real stick original,36835,0.9591046,Vermont Smoke & Cure          ,Meat                          ,organic yukon gold potatoes,45177,Vermont Smoke & Cure          
cola 4pk,1351089,0.9098899,Virgil's                      ,Packaged Grocery              ,organic russet potatoes,45183,Polar Seltzer                 
hemp infused orange pop,1319904,0.92465246,Upstate Elevator Supply       ,Packaged Grocery              ,organic russet potatoes,45183,Polar Seltzer                 
hemp infused zesty lime ginger ale,1319903,0.9352368,Upstate Elevator Supply       ,Packaged Grocery              ,organic russet potatoes,45183,Polar Seltzer                 
hemp infused green mango seltzer,1319902,0.9342401,Upstate Elevator Supply       ,Packaged Grocery              ,organic russet potatoes,45183,Polar Seltzer                 
orange thc pop,1318969,0.9313508,Upstate Elevator Supply       ,Packaged Grocery              ,organic russet potatoes,45183,Polar Seltzer                 
cola 4pk,1351089,0.9097266,Virgil's                      ,Packaged Grocery              ,organic red potatoes,45186,Polar Seltzer                 
hemp infused orange pop,1319904,0.9226822,Upstate Elevator Supply       ,Packaged Grocery              ,organic red potatoes,45186,Polar Seltzer                 
hemp infused zesty lime ginger ale,1319903,0.9301776,Upstate Elevator Supply       ,Packaged Grocery              ,organic red potatoes,45186,Polar Seltzer                 
hemp infused green mango seltzer,1319902,0.9424654,Upstate Elevator Supply       ,Packaged Grocery              ,organic red potatoes,45186,Polar Seltzer                 
orange thc pop,1318969,0.931988,Upstate Elevator Supply       ,Packaged Grocery              ,organic red potatoes,45186,Polar Seltzer                 
fruit punch juice 8pk,670032,0.94006896,Lakewood                      ,Packaged Grocery              ,organic red kale,44972,Honest Kids                   
tropical punch juice 8pk,670031,0.9275856,Lakewood                      ,Packaged Grocery              ,organic red kale,44972,Honest Kids                   
apple juice 8pk,670029,0.92226005,Lakewood                      ,Packaged Grocery              ,organic red kale,44972,Honest Kids                   
appley ever after juice,44968,0.93822616,Honest Kids                   ,Packaged Grocery              ,organic red kale,44972,Honest Kids                   
organic orange mango juice,22051,0.9003737,Santa Cruz                    ,Packaged Grocery              ,organic red kale,44972,Honest Kids                   
recharge grape juice,44801,0.9177725,R  W  Knudsen                 ,Packaged Grocery              ,organic gold beets,44803,R  W  Knudsen                 
hemp infused zesty lime ginger ale,1319903,0.91530955,Upstate Elevator Supply       ,Packaged Grocery              ,smooth shine apple conditioner,44867,Polar Seltzer                 
hemp infused green mango seltzer,1319902,0.91859734,Upstate Elevator Supply       ,Packaged Grocery              ,smooth shine apple conditioner,44867,Polar Seltzer                 
passion fruit thc seltzer,1318968,0.93254054,Upstate Elevator Supply       ,Packaged Grocery              ,smooth shine apple conditioner,44867,Polar Seltzer                 
blackberry zinger thc soda,1318967,0.9064758,Upstate Elevator Supply       ,Packaged Grocery              ,smooth shine apple conditioner,44867,Polar Seltzer                 
thc vanilla cola,1318900,0.9380586,Ayrloom                       ,Packaged Grocery              ,smooth shine apple conditioner,44867,Polar Seltzer                 
hemp infused green mango seltzer,1319902,0.90451074,Upstate Elevator Supply       ,Packaged Grocery              ,potato chips original,44866,Polar Seltzer                 
passion fruit thc seltzer,1318968,0.92150366,Upstate Elevator Supply       ,Packaged Grocery              ,potato chips original,44866,Polar Seltzer                 
thc vanilla cola,1318900,0.9217522,Ayrloom                       ,Packaged Grocery              ,potato chips original,44866,Polar Seltzer                 
blood orange sparkling water,1037654,0.9284375,Spindrift                     ,Packaged Grocery              ,potato chips original,44866,Polar Seltzer                 
lions mane sparkling drink,1028644,0.9195964,Brez                          ,Packaged Grocery              ,potato chips original,44866,Polar Seltzer                 
hemp infused green mango seltzer,1319902,0.90451074,Upstate Elevator Supply       ,Packaged Grocery              ,potato chips original,44866,Polar Seltzer                 
passion fruit thc seltzer,1318968,0.92150366,Upstate Elevator Supply       ,Packaged Grocery              ,potato chips original,44866,Polar Seltzer                 
thc vanilla cola,1318900,0.9217522,Ayrloom                       ,Packaged Grocery              ,potato chips original,44866,Polar Seltzer                 
blood orange sparkling water,1037654,0.9284375,Spindrift                     ,Packaged Grocery              ,potato chips original,44866,Polar Seltzer                 
lions mane sparkling drink,1028644,0.9195964,Brez                          ,Packaged Grocery              ,potato chips original,44866,Polar Seltzer                 
recharge grape juice,44801,0.92087305,R  W  Knudsen                 ,Packaged Grocery              ,sweet drops caramel,44799,R  W  Knudsen                 
hemp infused zesty lime ginger ale,1319903,0.906794,Upstate Elevator Supply       ,Packaged Grocery              ,sweet drops vanilla,44864,Polar Seltzer                 
hemp infused green mango seltzer,1319902,0.91918117,Upstate Elevator Supply       ,Packaged Grocery              ,sweet drops vanilla,44864,Polar Seltzer                 
passion fruit thc seltzer,1318968,0.9313245,Upstate Elevator Supply       ,Packaged Grocery              ,sweet drops vanilla,44864,Polar Seltzer                 
blackberry zinger thc soda,1318967,0.9001378,Upstate Elevator Supply       ,Packaged Grocery              ,sweet drops vanilla,44864,Polar Seltzer                 
thc vanilla cola,1318900,0.9320479,Ayrloom                       ,Packaged Grocery              ,sweet drops vanilla,44864,Polar Seltzer                 
thc vanilla cola,1318900,0.9144991,Ayrloom                       ,Packaged Grocery              ,organic unsalted tahini,44782,Field Day                     
organic elderberry juice,1171837,0.9583195,Biotta                        ,Packaged Grocery              ,organic unsalted tahini,44782,Field Day                     
blood orange sparkling water,1037654,0.91528016,Spindrift                     ,Packaged Grocery              ,organic unsalted tahini,44782,Field Day                     
lions mane sparkling drink,1028644,0.9015619,Brez                          ,Packaged Grocery              ,organic unsalted tahini,44782,Field Day                     
spiced pear cider,1024630,0.91165364,Polar Seltzer                 ,Packaged Grocery              ,organic unsalted tahini,44782,Field Day                     
organic elderberry juice,1171837,0.9536252,Biotta                        ,Packaged Grocery              ,organic unsalted creamy peanut butter,44781,Field Day                     
unfiltered apple juice,1018575,0.9305385,Martinelli's                  ,Packaged Grocery              ,organic unsalted creamy peanut butter,44781,Field Day                     
muscadine grape juice,586103,0.93136275,Le Bleu                       ,Packaged Grocery              ,organic unsalted creamy peanut butter,44781,Field Day                     
sparkling citrus refresher,553104,0.9010006,Rieme                         ,Packaged Grocery              ,organic unsalted creamy peanut butter,44781,Field Day                     
sparkling blood orange refresher,553103,0.9065703,Rieme                         ,Packaged Grocery              ,organic unsalted creamy peanut butter,44781,Field Day                     
organic sweet potato pie mix,1023611,0.94211745,Farmers Market                ,Packaged Grocery              ,organic unsalted crunchy peanut butter,44780,Field Day                     
sun-ripened dried tomatoes,713133,0.9349054,Jeff's Garden                 ,Packaged Grocery              ,organic unsalted crunchy peanut butter,44780,Field Day                     
apricot glazed baked beans,520104,0.93423456,HeyDay Canning                ,Packaged Grocery              ,organic unsalted crunchy peanut butter,44780,Field Day                     
kimchi sesame navy beans,520088,0.9294268,HeyDay Canning                ,Packaged Grocery              ,organic unsalted crunchy peanut butter,44780,Field Day                     
enchilada black beans,520086,0.9497334,HeyDay Canning                ,Packaged Grocery              ,organic unsalted crunchy peanut butter,44780,Field Day                     
cola 4pk,1351089,0.9051624,Virgil's                      ,Packaged Grocery              ,grocery story,44549,LaCroix                       
hemp infused zesty lime ginger ale,1319903,0.91844237,Upstate Elevator Supply       ,Packaged Grocery              ,grocery story,44549,LaCroix                       
hemp infused green mango seltzer,1319902,0.9194547,Upstate Elevator Supply       ,Packaged Grocery              ,grocery story,44549,LaCroix                       
orange thc pop,1318969,0.9019418,Upstate Elevator Supply       ,Packaged Grocery              ,grocery story,44549,LaCroix                       
passion fruit thc seltzer,1318968,0.9318711,Upstate Elevator Supply       ,Packaged Grocery              ,grocery story,44549,LaCroix                       
cola 4pk,1351089,0.90704364,Virgil's                      ,Packaged Grocery              ,malt beverage variety pack,44553,LaCroix                       
hemp infused zesty lime ginger ale,1319903,0.91601527,Upstate Elevator Supply       ,Packaged Grocery              ,malt beverage variety pack,44553,LaCroix                       
hemp infused green mango seltzer,1319902,0.91958344,Upstate Elevator Supply       ,Packaged Grocery              ,malt beverage variety pack,44553,LaCroix                       
orange thc pop,1318969,0.9019366,Upstate Elevator Supply       ,Packaged Grocery              ,malt beverage variety pack,44553,LaCroix                       
passion fruit thc seltzer,1318968,0.9352591,Upstate Elevator Supply       ,Packaged Grocery              ,malt beverage variety pack,44553,LaCroix                       
cola 4pk,1351089,0.9065996,Virgil's                      ,Packaged Grocery              ,seasafe® seafood salad,44558,LaCroix                       
hemp infused orange pop,1319904,0.9043039,Upstate Elevator Supply       ,Packaged Grocery              ,seasafe® seafood salad,44558,LaCroix                       
hemp infused zesty lime ginger ale,1319903,0.91987616,Upstate Elevator Supply       ,Packaged Grocery              ,seasafe® seafood salad,44558,LaCroix                       
hemp infused green mango seltzer,1319902,0.932212,Upstate Elevator Supply       ,Packaged Grocery              ,seasafe® seafood salad,44558,LaCroix                       
orange thc pop,1318969,0.91074777,Upstate Elevator Supply       ,Packaged Grocery              ,seasafe® seafood salad,44558,LaCroix                       
coconut corn chowder,1351084,0.9007157,HeyDay Canning                ,Packaged Grocery              ,mexican fiesta,44115,Organic India                 
organic matcha green tea,1244876,0.95300335,Pukka                         ,Packaged Grocery              ,mexican fiesta,44115,Organic India                 
earth coffee,585852,0.9544302,Good TIme                     ,Packaged Grocery              ,mexican fiesta,44115,Organic India                 
dark earth coffee,585851,0.9572395,Good TIme                     ,Packaged Grocery              ,mexican fiesta,44115,Organic India                 
hibiscus earth tea,585850,0.9562789,Good TIme                     ,Packaged Grocery              ,mexican fiesta,44115,Organic India                 
caribbean bbq sauce,315668,0.9155468,Gourmet Warehouse             ,Packaged Grocery              ,fudge mint cookies,44194,Dinosaur Bar-B-Que            
sauce wango tango habanero,44196,0.97749037,Dinosaur Bar-B-Que            ,Packaged Grocery              ,fudge mint cookies,44194,Dinosaur Bar-B-Que            
sauce roastd garlc honey,44195,0.9864956,Dinosaur Bar-B-Que            ,Packaged Grocery              ,fudge mint cookies,44194,Dinosaur Bar-B-Que            
bbq sauce og hickory,40527,0.90025955,Woodstock                     ,Packaged Grocery              ,fudge mint cookies,44194,Dinosaur Bar-B-Que            
brown rice pasta mac & cheese,520162,0.9036782,Jovial                        ,Packaged Grocery              ,fudge striped cookies,43844,Annie's                       
mac & cheese vegan og,48100,0.90693694,Annie's                       ,Packaged Grocery              ,fudge striped cookies,43844,Annie's                       
toddler food pear pea bean og,48594,0.94091177,HappyTot                      ,Packaged Grocery              ,chocolate chip cookies,43879,HappyTot                      
puree super foods swt pot,43878,0.9031538,HappyTot                      ,Packaged Grocery              ,chocolate chip cookies,43879,HappyTot                      
puree fiber & protein bsq,43876,0.96701217,HappyTot                      ,Packaged Grocery              ,chocolate chip cookies,43879,HappyTot                      
stick variety pack,1171848,0.92299855,Vermont Smoke & Cure          ,Packaged Grocery              ,organic figgy pops choco crunch,43885,Epic                          
spicy meat stick,1031649,0.9315087,Country Archer                ,Packaged Grocery              ,organic figgy pops choco crunch,43885,Epic                          
sliced turkey pepperoni,519757,0.91334045,Yancey's Fancy                ,Meat                          ,organic figgy pops choco crunch,43885,Epic                          
peppered salami,315745,0.91544235,Battistoni                    ,Meat                          ,organic figgy pops choco crunch,43885,Epic                          
genoa salami w/wine & garlic,282255,0.9091025,Battistoni                    ,Meat                          ,organic figgy pops choco crunch,43885,Epic                          
stick variety pack,1171848,0.9358239,Vermont Smoke & Cure          ,Packaged Grocery              ,concentrate cranberry og,43884,Epic                          
spicy meat stick,1031649,0.92945415,Country Archer                ,Packaged Grocery              ,concentrate cranberry og,43884,Epic                          
sliced turkey pepperoni,519757,0.9203487,Yancey's Fancy                ,Meat                          ,concentrate cranberry og,43884,Epic                          
entertainment tray,519689,0.9079772,Creminelli                    ,Meat                          ,concentrate cranberry og,43884,Epic                          
uncured genoa salami,452190,0.92057335,Yancey's Fancy                ,Meat                          ,concentrate cranberry og,43884,Epic                          
vegan oyster sauce,1245086,0.95185226,Roland                        ,Packaged Grocery              ,spray disinfectant lavander vanilla,43870,Ginger People                 
oyster sauce,1245039,0.95715487,Lee Kum Kee                   ,Packaged Grocery              ,spray disinfectant lavander vanilla,43870,Ginger People                 
japanese miso bbq sauce,1018583,0.91458225,Bachans                       ,Packaged Grocery              ,spray disinfectant lavander vanilla,43870,Ginger People                 
dairy free caesar dressing,849402,0.90868133,Primal Kitchen                ,Packaged Grocery              ,spray disinfectant lavander vanilla,43870,Ginger People                 
dairy free ranch dressing,849401,0.9105581,Primal Kitchen                ,Packaged Grocery              ,spray disinfectant lavander vanilla,43870,Ginger People                 
brown rice pasta mac & cheese,520162,0.9711072,Jovial                        ,Packaged Grocery              ,spray disinfectant fresh citrus,43843,Annie's                       
cheezy mac bacn cheddar style,48216,0.90215313,Daiya                         ,Packaged Grocery              ,spray disinfectant fresh citrus,43843,Annie's                       
mac & cheese vegan og,48100,0.97591865,Annie's                       ,Packaged Grocery              ,spray disinfectant fresh citrus,43843,Annie's                       
mac&chs classic og grassfed,40654,0.916016,Annie's                       ,Packaged Grocery              ,spray disinfectant fresh citrus,43843,Annie's                       
mac & chs classic chd og,25251,0.910313,Annie's                       ,Packaged Grocery              ,spray disinfectant fresh citrus,43843,Annie's                       
organic creme brulee truffle thins dark chocolate bar,673040,0.9013116,Alter Eco                     ,Packaged Grocery              ,spray disinfectant eucalyptus,43657,Justins Nut Butter            
hazelnut dark chocolate bar,486090,0.90817034,Taza Chocolate                ,Packaged Grocery              ,spray disinfectant eucalyptus,43657,Justins Nut Butter            
organic mint cream truffle thins,282166,0.9329917,Alter Eco                     ,Packaged Grocery              ,spray disinfectant eucalyptus,43657,Justins Nut Butter            
organic salted caramel truffle thins,282164,0.9439031,Alter Eco                     ,Packaged Grocery              ,spray disinfectant eucalyptus,43657,Justins Nut Butter            
organic dark chocolate peanut butter cups,282158,0.9115531,Justins Nut Butter            ,Packaged Grocery              ,spray disinfectant eucalyptus,43657,Justins Nut Butter            
crunchy fries taco beyond,1171847,0.94566345,Daily Crave                   ,Packaged Grocery              ,matzo whole wheat passover,43547,Late July Snacks              
za'atar & thyme pita chips,1171820,0.9388251,Issa's                        ,Packaged Grocery              ,matzo whole wheat passover,43547,Late July Snacks              
spicy harissa pita chips,850396,0.95003754,Issa's                        ,Packaged Grocery              ,matzo whole wheat passover,43547,Late July Snacks              
mini halloween pretzels,713126,0.9238577,Snyder's Of Hanover           ,Packaged Grocery              ,matzo whole wheat passover,43547,Late July Snacks              
halloween pink salt organic popcorn,713125,0.92258453,Lesser Evil                   ,Packaged Grocery              ,matzo whole wheat passover,43547,Late July Snacks              
organic sweet potato pie mix,1023611,0.94818556,Farmers Market                ,Packaged Grocery              ,seltzer cranberry clementine,43289,Field Day                     
sun-ripened dried tomatoes,713133,0.95509714,Jeff's Garden                 ,Packaged Grocery              ,seltzer cranberry clementine,43289,Field Day                     
